Name,Parent_Name,Marker,Marker_Function,Marker_Source,Marker_Notes,Set,Original_Marker,Original_Name,Original_Parent_Name
HC,ROOT,Lhx1,transcription factor important for the development of the renal and urogenital systems,https://www.researchgate.net/figure/Expression-of-the-horizontal-cell-markers-Lhx1-Prox1-and-Pax6-the-retinal-ganglion-cell_fig9_51113478,"",Curated,Lhx1,Horizontal Cells,Root
AC,ROOT,Cd90,cell surface glycoprotein (cell adhesion molecule). It's purpose is a thymocyte differentiation antigen-1.,https://www.abcam.com/products/primary-antibodies/cd90--thy1-antibody-ab273071.html,"",Curated,Cd90,Amacrine Cells,Root
AC,ROOT,Pax6,bind DNA and function as regulators of gene transcription; participates in neural development in the eyes,https://www.researchgate.net/figure/Expression-of-Bclaf1-in-the-adult-retina-Retinal-sections-from-adult-mice-were_fig3_259878249,"",Curated,Pax6,Amacrine Cells,Root
ROD,PHOTORECEPTOR,Cd39,ectonucleotidase. It's purpose is production of adenosine to provide an immunosuppressive environment.,https://www.researchgate.net/figure/Immunofluorescence-analysis-of-the-distribution-of-CD73-and-CD39-in-the-mouse-retina-and_fig1_358869684,"",Curated,Cd39,Rods,Photoreceptors
ROD,PHOTORECEPTOR,Pde6a,cyclic-GMP (cGMP)-specific phosphodiesterase 6A alpha subunit;  important regulator of rod cell membrane current,https://www.researchgate.net/figure/Detection-of-phosphodiesterase-6-PDE6a-expression-by-immunofluorescence-in_fig2_326270299,"",Curated,Pde6a,Rods,Photoreceptors
CONE,PHOTORECEPTOR,Arr3,"non-visual arrestin which binds to agonist-activated, phosphorylated G protein-coupled receptors",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.researchgate.net%2Ffigure%2FExpression-of-photoreceptor-and-nonphotoreceptor-proteins-in-3D-neural-retina-A-B_fig3_280629431&psig=AOvVaw1OLKNNmFC6CQz-NJxOMt0n&ust=1721407182657000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCOjIuOqDsYcDFQAAAAAdAAAAABA0,"",Curated,Arr3,Cones,Photoreceptors
BC2,BC,Syt2,"inhibitory neurons, neurotransmitter release",Fig E: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-figs5_lrg.jpg,"",Curated,Syt2,BC2,Bipolar Cells
BC2,BC,Rcvrn,"recoverin Ca+ sensors, blocks phosphorylation of rhodopsin, which prolongs phototransduction light response","Fig G, purple","",Curated,Rcvrn,BC2,Bipolar Cells
BC2,BC,Neto1,"ionotropic glutamate receptors, in excitatory synapse and postsynaptic density membrane, active in glutamatergic synapses",Fig A,"",Curated,Neto1,BC2,Bipolar Cells
BC2,BC,Bhlhe22/Bhlhb5,"allows RNA polymerase II to bind to DNA, chrimatin and identical protein binding, neuron and cerebral cortex differentiation",First column: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4100943/figure/F3/,"",Curated,Bhlhe22/Bhlhb5,BC2,Bipolar Cells
BC2,BC,Ebf1,involved in upregulating RNA polymerase II transcription,"Pan-EBF, fig S","",Curated,Ebf1,BC2,Bipolar Cells
BC2,BC,Tacr3,"tachykinin receptor, interacts with G-proteins and hydrophobic transmembrane areas","","",Curated,Tacr3,BC2,Bipolar Cells
BC4,BC,Col11a1,Encodes an alpha chain in type XI collagen,Fig C: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-figs5_lrg.jpg,"",Curated,Col11a1,BC4,Bipolar Cells
BC4,BC,Grik1,kainate glutamate receptor (ionotropic),"","",Curated,Grik1,BC4,Bipolar Cells
BC4,BC,Hcn4,enables intracellular cAMP-activated vation channel activity,"","",Curated,Hcn4,BC4,Bipolar Cells
BC6,BC,Lect 1,"downregulates endothelial cell growth, upregulade chondocyte growth in the presence of fibroblast growth factor",Fig H: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr2_lrg.jpg,"",Curated,Lect 1,BC6,Bipolar Cells
BC6,BC,Cck,"encodes a protein in the gastrin/cholecystokinin family, thought to regulate neuron activity in the brain",Fig A: in primate retina https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2830016/figure/F5/,"",Curated,Cck,BC6,Bipolar Cells
BC7,BC,Igfn 1,involved in in retinal layer and synapse construction,Fig I: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr2_lrg.jpg,"",Curated,Igfn 1,BC7,Bipolar Cells
BC8,BC,Seripini1,unable to find,Fig F: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr5_lrg.jpg,"",Curated,Seripini1,BC8,Bipolar Cells
BC9,BC,Seripini1,unable to find,Fig F: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr5_lrg.jpg,"",Curated,Seripini1,BC9,Bipolar Cells
BC9,BC,Cpne9,"upregulation of dendrite extension, response to Ca+",Fig B & C: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr5_lrg.jpg,"",Curated,Cpne9,BC9,Bipolar Cells
RBC,BC,Vstm2b,"expression in mantle layer of brain and spinal cord, component of cell membrane",Fig B: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr2_lrg.jpg,"",Curated,Vstm2b,Rod BCs (RBCs),Bipolar Cells
RBC,BC,Casp7,"aspartic- and cytesine-type endopeptidase involved in neuronal apoptosis, UV response",Fig C: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr2_lrg.jpg,"",Curated,Casp7,Rod BCs (RBCs),Bipolar Cells
RBC,BC,Rpa1,"enables chromatin binding, involved in homologous recombination repair of double-stranded breaks",Fig D: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr2_lrg.jpg,"",Curated,Rpa1,Rod BCs (RBCs),Bipolar Cells
RBC,BC,Spock 3,"enables glycosaminoglycan binding, involved in peptide cross-linking","","",Curated,Spock 3,Rod BCs (RBCs),Bipolar Cells
RBC,BC,Prkca/Pkca,"calcium dependent protein kinase C, integrin binding activity; involved in chemical transmission, downregulating signal transduction",Fig C,"",Curated,Prkca/Pkca,Rod BCs (RBCs),Bipolar Cells
RBC,BC,Car8,"involved in hydro-lyase activity,","","",Curated,Car8,Rod BCs (RBCs),Bipolar Cells
RBC,BC,Sebox,"DNA binding activity, embruonic development","","",Curated,Sebox,Rod BCs (RBCs),Bipolar Cells
PAN-BC,BC,Vsx2,"part of the visual system homeobox (Vsx), involved in generating the eye and retinal development","Fig A and Fig C, top row:",Fig A: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9245082/figure/F1/,Curated,Vsx2,Pan-BC,Bipolar Cells
PAN-BC,BC,Otx2,"homeobox TF, development of the head and choroid plexus","Fig A and Fig C, top row:","",Curated,Otx2,Pan-BC,Bipolar Cells
PAN-BC,BC,Slc1a2,Protein: EAAT2,"EAAT2 IHC, first image in A","",Curated,Slc1a2,Pan-BC,Bipolar Cells
CONE BC,BC,Scgn,enables Ca+ binding,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3855033/figure/F2/,"Fig D, magenta",Curated,Scgn,Cone BCs,Bipolar Cells
3B,BC,Prkar2b,"cAMP-dependent protein kinase regulator activity, chemical synapse transmission, glutamatergic synapses",Fig G: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9245082/figure/F1/,"",Curated,Prkar2b,3B,Bipolar Cells
"ON BCS (3-6, 13, 15) (6,7, 5A/B/C, 3A",BC,Isl1,"DNA-binding transcription activator activity, neuron development",Fig B,"",Curated,Isl1,"ON BCs (3-6, 13, 15) (6,7, 5A/B/C, 3A",Bipolar Cells
ON BC BUT NOT 5D,BC,Grm6,glutamate-activated G protein-coupled receptors (GPCRs),First column: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2854669/figure/F1/,"",Curated,Grm6,ON BC but not 5D,Bipolar Cells
ALPHA-RGC,RGC,Spp1,"osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity",Fig 4A: https://www.cell.com/cell-reports/pdf/S2211-1247%2823%2901049-5.pdf,main marker for alpha-RGCs; Spp1 levels correlate with severity of optic neuropaty in patients w/ glaucoma,Curated,Spp1,alpha-RGCs,Ganglion Cells
ALPHA-RGC,RGC,Calb1,calcium-binding protein; buffer entry of calcium upon stimulation of glutamate receptors; may play a role in preventing neuron death,Fig 2B: https://journals.plos.org/plosone/article/figures?id=10.1371/journal.pone.0200417,"",Curated,Calb1,alpha-RGCs,Ganglion Cells
ALPHA-RGC,RGC,Pou4f1,"member of Pou-IV class of neural transcription factors; expressed in newly differentiated RGCs; pivotal role in development of RGCs; directly regulates genes involved in axon guidance and neuronal development; may indirectly control transcription factors functioning in RGC subtype specification/differentiation; binds to promoters of key upstream regulators including Atoh7, Pou4f2, and Isl1",Fig 2D: https://www.researchgate.net/figure/Immunohistochemical-localization-of-surface-antigens-and-RGC-markers-used-in-our-RGC_fig2_303322226,"",Curated,Pou4f1,alpha-RGCs,Ganglion Cells
ALPHA-RGC,RGC,Pou4f3,member of Pou-IV class of neural transcription factors; positive regulation of transcription by RNA polymerase II; may play a role in determining or maintaining the identities of RGCs,Fig M: https://www.biorxiv.org/content/biorxiv/early/2020/06/20/2020.06.20.162859/F2.large.jpg,"",Curated,Pou4f3,alpha-RGCs,Ganglion Cells
ALPHA-RGC,RGC,Opn4,encodes a photoreceptive opsin protein that is expressed within the ganglion and amacrine cell layers of the retina; functions as a sensory photopigement and may also have photoisomerase activity; in mice this protein is coupled to a transient receptor potential ion channel through a G protein signaling pathway and produces a physiologic light resposne via membrane depolarization and increased intracellular calcium,https://www.researchgate.net/figure/Cre-Mediated-Recombination-with-Z-AP-and-Z-EG-Reporters-Labels-Melanopsin-Expressing_fig3_45166989,aka melanopsin,Curated,Opn4,alpha-RGCs,Ganglion Cells
T-RGC,RGC,Tbr1,plays a critical role in the formation and survival of 2 types of OFF-sustained RGCs and orientation-selective J-RGCs; regulates dendritic morphogenesis; helps establish synaptic connections w/ bipolar cells; visual responsiveness,Fig B: https://www.researchgate.net/figure/Expression-of-Tbr1-in-four-types-of-OFF-laminating-RGCs-a-P21-retinal-whole-mount_fig9_324473129,main marker for T-RGCs,Curated,Tbr1,T-RGCs,Ganglion Cells
T-RGC,RGC,Jam2,"member of the junctional adhesion molecule family, which regulates cell polarity, blood-brain barrier function, endothelium permeability, and leukocyte migration","",Pou4f1-Tbr1 transcriptional cascade controls the formation of Jam2-expressing retinal ganglion cells,Curated,Jam2,T-RGCs,Ganglion Cells
T-RGC,RGC,Pou4f3,member of Pou-IV class of neural transcription factors; positive regulation of transcription by RNA polymerase II; may play a role in determining or maintaining the identities of RGCs,Fig M: https://www.biorxiv.org/content/biorxiv/early/2020/06/20/2020.06.20.162859/F2.large.jpg,"",Curated,Pou4f3,T-RGCs,Ganglion Cells
T-RGC,RGC,Pou4f2,"member of Pou-IV class of neural transcription factors; forms complex w/ ISL1 to regulate RGC differentiation; Atoh7-Brn3b regulation pathway promotes RGC differentiation by repressing a group of reetinal developmental genes (Dlx1/Dlx2, Otx2, Crx); may be involved in maintaining visual system neurons in the retina",Fig F: https://www.researchgate.net/figure/Expression-of-Rit2-mRNA-and-protein-in-the-mouse-retina-The-top-panels-show_fig2_242334369,"",Curated,Pou4f2,T-RGCs,Ganglion Cells
T-RGC,RGC,Calb2,enables calcium ion binding activity involved in regulation of presynpatic cytosolic calcium ion concentration; message targeting; intracellular calcium buffering; modulator of neuronal excitability; predicted to be involved in regulation of long-term synaptic potentiation and regulation of presynaptic cytosolic calcium ion concentration,Fig A: https://www.researchgate.net/figure/Differentiation-Defects-in-Rb-KO-SACs-A-P18-horizontal-sections-of-WT-Rb-KO-and_fig3_6228316,"",Curated,Calb2,T-RGCs,Ganglion Cells
T5-RGC,RGC,Tusc5,predicted to be involved in endosome to plasma membrane protein transport + glucose import in response to insulin stimulus,"",potential subclass,Curated,Tusc5,T5-RGCs,Ganglion Cells
T5/F-RGC,RGC,Foxp2,"","",JM 07/31/2024 Manually Inserted,Curated,Foxp2,T5/F-RGCs,Ganglion Cells
T5/F-RGC,RGC,Tusc5,"","",JM 07/31/2024 Manually Inserted,Curated,Tusc5,T5/F-RGCs,Ganglion Cells
F-RGC,RGC,Foxp2,"involved in growth of nerve cells, tranmission of signals between neurons, synaptic plasticity, and development of speech and language","",main marker for F-RGCs,Curated,Foxp2,F-RGCs,Ganglion Cells
F-RGC,RGC,Foxp1,regulates the competence to generate early-born retinal cell types; promotes early and represses late progenitor gene expression; required for extending early retinal cell production after loss of Jarid2,"","",Curated,Foxp1,F-RGCs,Ganglion Cells
F-RGC,RGC,Pou4f1,"member of Pou-IV class of neural transcription factors; expressed in newly differentiated RGCs; pivotal role in development of RGCs; directly regulates genes involved in axon guidance and neuronal development; may indirectly control transcription factors functioning in RGC subtype specification/differentiation; binds to promoters of key upstream regulators including Atoh7, Pou4f2, and Isl1",Fig C: https://www.nature.com/articles/ncomms10472/figures/1,"",Curated,Pou4f1,F-RGCs,Ganglion Cells
F-RGC,RGC,Pou4f2,"member of Pou-IV class of neural transcription factors; forms complex w/ ISL1 to regulate RGC differentiation; Atoh7-Brn3b regulation pathway promotes RGC differentiation by repressing a group of reetinal developmental genes (Dlx1/Dlx2, Otx2, Crx); may be involved in maintaining visual system neurons in the retina",Fig F: https://www.researchgate.net/figure/Expression-of-Rit2-mRNA-and-protein-in-the-mouse-retina-The-top-panels-show_fig2_242334369,"",Curated,Pou4f2,F-RGCs,Ganglion Cells
F-RGC,RGC,Pou4f3,member of Pou-IV class of neural transcription factors; positive regulation of transcription by RNA polymerase II; may play a role in determining or maintaining the identities of RGCs,Fig M: https://www.biorxiv.org/content/biorxiv/early/2020/06/20/2020.06.20.162859/F2.large.jpg,"",Curated,Pou4f3,F-RGCs,Ganglion Cells
F-RGC,RGC,Ebf3,encodes EBF protein which inhibits cell survival through the regulation of genes involved in cell cycle arrest and apoptosis,"","",Curated,Ebf3,F-RGCs,Ganglion Cells
IPRGC,RGC,Opn4,"encodes photoreceptive protein; mediates wavelength-specific, light-dependent vascular relaxation",https://www.researchgate.net/figure/Cre-Mediated-Recombination-with-Z-AP-and-Z-EG-Reporters-Labels-Melanopsin-Expressing_fig3_45166989,main marker for ipRGCs,Curated,Opn4,ipRGCs,Ganglion Cells
IPRGC,RGC,Eomes,transcription factor which is crucial for embryonic development of mesoderm and the CNS,"","",Curated,Eomes,ipRGCs,Ganglion Cells
IPRGC,RGC,Tbx20,encodes a T-box family member; involved in the regulation of developmental processes; essential for heart development,"","",Curated,Tbx20,ipRGCs,Ganglion Cells
IPRGC,RGC,Adcyap1,encodes a secreted proprotein that is further processed into multiple mature peptide that stimulate adenylate cyclase and incrase cAMP levels; products are key mediators of neuroendocrine stress responses,"","",Curated,Adcyap1,ipRGCs,Ganglion Cells
IPRGC,RGC,Spp1,"osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity",Fig 4A: https://www.cell.com/cell-reports/pdf/S2211-1247%2823%2901049-5.pdf,"",Curated,Spp1,ipRGCs,Ganglion Cells
GANGLIONOTHER78,RGC,Opn4,"","",JM 07/31/2024 Manually Inserted,Curated,Opn4,GanglionOther78,Ganglion Cells
GANGLIONOTHER78,RGC,Eomes,"","",JM 07/31/2024 Manually Inserted,Curated,Eomes,GanglionOther78,Ganglion Cells
OODSGC,RGC,Cartpt,"encodes a preproprotein that is proteolytically processed to generate multiple biologically active peptides; involved in appetite, energy balance, body weight, reward and addiction, stress response","","",Curated,Cartpt,ooDSGCs,Ganglion Cells
N-RGC,RGC,Neurod2,induce transcription from neuron-specific promoters like the GAP-43 promoter,"",novel subclass; main marker for subclass,Curated,Neurod2,N-RGCs,Ganglion Cells
N-RGC,RGC,Satb2,encodes a DNA binding protein that specifically binds nuclear matrix attachment regions; involved in transcription regulation and chromatin remodeling,"","",Curated,Satb2,N-RGCs,Ganglion Cells
AC1,AC,Ptn,secreted heparin-binding growth factor,"","",Curated,Ptn,AC1,Amacrine Cells
AC2,AC,Crybb3,crystallin,https://www.biorxiv.org/content/biorxiv/early/2020/05/15/2020.05.14.095307/F6.large.jpg,"",Curated,Crybb3,AC2,Amacrine Cells
AC3,AC,Gjd2,connexin protein; gap junction proteins,https://bicellscientific.com/product/connexin-36-antibody/,"",Curated,Gjd2,AC3,Amacrine Cells
AC4,AC,Prom1,pentaspan transmembrane glycoprotein;  localizes to membrane protrusions and is often expressed on adult stem cells,https://www.researchgate.net/figure/Localization-of-Prom-1-protein-in-WT-retina-a-b-Immunofluorescent-staining-red-shows_fig10_24026869,"",Curated,Prom1,AC4,Amacrine Cells
AC5,AC,Cbfa2t3,part of myeloid translocation gene family which interact with DNA-bound transcription factors and recruit a range of corepressors to facilitate transcriptional repressio,"","",Curated,Cbfa2t3,AC5,Amacrine Cells
AC6,AC,Nefh,Neurofilaments; type IV intermediate filament heteropolymers,https://www.nature.com/articles/s41598-020-73257-z/figures/3,"",Curated,Nefh,AC6,Amacrine Cells
AC7,AC,Pcdh17,protocadherin; play a role in the establishment and function of specific cell-cell connections in the brain,https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr3.jpg,"",Curated,Pcdh17,AC7,Amacrine Cells
AC8,AC,Tfap2e,Enables sequence-specific double-stranded DNA binding activity; transcription factor,"","",Curated,Tfap2e,AC8,Amacrine Cells
AC9,AC,Trhde,peptidase M1; extracellular peptidase that specifically cleaves and inactivates the neuropeptide thyrotropin-releasing hormone,"","",Curated,Trhde,AC9,Amacrine Cells
AC10,AC,Cntn6,(GPI)-anchored neuronal membrane protein that functions as a cell adhesion molecule,"","",Curated,Cntn6,AC10,Amacrine Cells
AC11,AC,Slc35d3,Predicted to enable antiporter activity and pyrimidine nucleotide-sugar transmembrane transporter activity; carbohydrate transport and pyrimidine nucleotide-sugar transmembrane transport; act upstream of or within energy homeostasis and positive regulation of protein exit from ER.  located in early endosome and ER. Predicted to be integral component of membrane. Predicted to be active in Golgi apparatus,"","",Curated,Slc35d3,AC11,Amacrine Cells
MOUSE AC,AC,Gm10631,predicted gene (not much info),"","",Curated,Gm10631,mouse AC,Amacrine Cells
AC13,AC,Nxph1,"neurexophilin;forms a very tight complex with alpha neurexins, a group of proteins that promote adhesion between dendrites and axons",https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-figs6.jpg,"",Curated,Nxph1,AC13,Amacrine Cells
AC14,AC,Gulo,gulonolactone (L-) oxidase; Enables L-gulonolactone oxidase activity and flavin adenine dinucleotide binding activity,"","",Curated,Gulo,AC14,Amacrine Cells
AC15,AC,Vmn2r122,expressed in dorsal root ganglion; eye; neural tube; and nose,"","",Curated,Vmn2r122,AC15,Amacrine Cells
AC16,AC,Sct,secretin; part of glucagon family,"","",Curated,Sct,AC16,Amacrine Cells
AC17,AC,Gng7,gamma subunit of g protein; predicted to enable G-protein beta-subunit binding activity,"","",Curated,Gng7,AC17,Amacrine Cells
AC18,AC,Cpne4,"encodes a calcium-dependent, phospholipid-binding protein, which may be involved in membrane trafficking, mitogenesis and development",https://www.researchgate.net/figure/Immunostaining-of-LC-MS-interactors-with-Cpne4-in-retina-Representative-images-showing_fig5_356648686,"",Curated,Cpne4,AC18,Amacrine Cells
AC19,AC,Nxph2,neurexophilin; predicted to enable signaling receptor binding activity,"","",Curated,Nxph2,AC19,Amacrine Cells
AC20,AC,Sema3a,"semaphorin; encodes a protein with an Ig-like C2-type (immunoglobulin-like) domain, a PSI domain and a Sema domain; chemorepulsive agent, inhibiting axonal outgrowth, or as a chemoattractive agent, stimulating the growth of apical dendrites",https://cellandbioscience.biomedcentral.com/articles/10.1186/s13578-021-00603-7/figures/1,"",Curated,Sema3a,AC20,Amacrine Cells
AC21,AC,Elavl2,ELAVL RNA binding proteins recognize AU-rich elements in the 3' UTRs of gene transcripts and thereby regulate gene expression post-transcriptionally,https://www.researchgate.net/figure/Elavl2-deficiency-alters-the-differentiation-of-ACs-in-the-early-stage-of-retinal_fig1_352059856,"",Curated,Elavl2,AC21,Amacrine Cells
AC22,AC,Cbln4,cerebellin 4 precursor protein; Involved in inhibitory synapse assembly,"","",Curated,Cbln4,AC22,Amacrine Cells
AC23,AC,Rasgrp1,functions as a diacylglycerol (DAG)-regulated nucleotide exchange factor specifically activating Ras through the exchange of bound GDP for GTP,https://www.biorxiv.org/content/biorxiv/early/2018/09/05/381004/F3.large.jpg?width=800&height=600&carousel=1,"",Curated,Rasgrp1,AC23,Amacrine Cells
AC24,AC,Neurod6,basic helix-loop-helix transcription factor; may be involved in the development and differentiation of the nervous system,"","",Curated,Neurod6,AC24,Amacrine Cells
AC25,AC,Tpbg,encodes a leucine-rich transmembrane glycoprotein that may be involved in cell adhesion,https://www.biorxiv.org/content/10.1101/590216v1.full,"",Curated,Tpbg,AC25,Amacrine Cells
AC26,AC,Abi3bp,ABI family member 3 binding protein; Predicted to enable actin filament binding activity and glycosaminoglycan binding activity,"","",Curated,Abi3bp,AC26,Amacrine Cells
AC27,AC,Lgsf3,member of the galectin family of carbohydrate binding proteins,"","",Curated,Lgsf3,AC27,Amacrine Cells
AC28,AC,Nfib,"Enables DNA-binding transcription activator activity, RNA polymerase II-specific",https://www.biorxiv.org/content/biorxiv/early/2021/07/14/2021.07.13.451621/F4.large.jpg?width=800&height=600&carousel=1,"",Curated,Nfib,AC28,Amacrine Cells
AC29,AC,Glra1,subunit of a pentameric inhibitory glycine receptor,"","",Curated,Glra1,AC29,Amacrine Cells
AC30,AC,Lgfbp5,Enables insulin-like growth factor I binding activity,https://www.eneuro.org/content/eneuro/3/6/ENEURO.0169-16.2016/F6.large.jpg?width=800&height=600&carousel=1,"",Curated,Lgfbp5,AC30,Amacrine Cells
AC31,AC,Stxbp6,syntaxin binding protein 6; Enables cadherin binding activity involved in cell-cell adhesion,"","",Curated,Stxbp6,AC31,Amacrine Cells
AC32,AC,Ramp3,member of the RAMP family of single-transmembrane-domain proteins; modifies receptor,https://www.alliedacademies.org/articles-images/medical-research-nuclear-layers-3-1-26-g004.png,"",Curated,Ramp3,AC32,Amacrine Cells
AC33,AC,Robo3,"controls neurite outgrowth, growth cone guidance, and axon fasciculation","","",Curated,Robo3,AC33,Amacrine Cells
AC34,AC,Tpm2,"beta-tropomyosin, a member of the actin filament binding protein family","","",Curated,Tpm2,AC34,Amacrine Cells
AC35,AC,2010007h06rik,N/A,"","",Curated,2010007h06rik,AC35,Amacrine Cells
AC36,AC,Kctd12,potassium channel tetramerization domain; Enables identical protein binding activity,"","",Curated,Kctd12,AC36,Amacrine Cells
AC37,AC,Crh,encodes a member of the corticotropin-releasing factor family; encoded preproprotein is proteolytically processed to generate the mature neuropeptide hormone,"","",Curated,Crh,AC37,Amacrine Cells
AC38,AC,Bcl11b,transcription factor; encodes a C2H2-type zinc finger protein,https://shop.bio-connect.nl/anti-bcl11b-hpa049117-a90,"",Curated,Bcl11b,AC38,Amacrine Cells
AC39,AC,Mef2c,encodes a member of the MADS box transcription enhancer factor 2; myogenesis,https://www.researchgate.net/figure/Induction-of-retinal-Mef2C-promoter-activity-by-NRL-in-mature-rod-photoreceptors-A_fig5_51578790,"",Curated,Mef2c,AC39,Amacrine Cells
AC40,AC,Gch1,encoded protein is the first and rate-limiting enzyme in tetrahydrobiopterin (BH4) biosynthesis,"","",Curated,Gch1,AC40,Amacrine Cells
AC41,AC,Pou3f1,homeobox; Enables sequence-specific double-stranded DNA binding activity,https://www.biorxiv.org/content/biorxiv/early/2022/06/29/2022.06.28.497982/F1.large.jpg?width=800&height=600&carousel=1,"",Curated,Pou3f1,AC41,Amacrine Cells
AC42,AC,Etv1,"transcription factor; ETS proteins regulate many target genes that modulate biological processes like cell growth, angiogenesis, migration, proliferation and differentiation",https://www.researchgate.net/figure/ETV1-and-NFIA-are-both-widely-expressed-within-the-IGL-of-the-developing-mouse_fig6_297585134,"",Curated,Etv1,AC42,Amacrine Cells
AC43,AC,Tbx2,transcription factor; T-box genes encode transcription factors involved in the regulation of developmental processes,https://www.researchgate.net/figure/Expression-of-TBX2-in-RPE-cells-in-vivo-and-in-vitro-A-Expression-of-TBX2-in-mouse-RPE_fig1_319769062,"",Curated,Tbx2,AC43,Amacrine Cells
AC44,AC,Gpr88,g-protein coupled receptor; Enables cytoskeletal motor activity,"","",Curated,Gpr88,AC44,Amacrine Cells
