Cell Type	Cell Marker	Subclass	Markers	Type within Subclass	Type-Specific Markers	Function of Marker	Image Link	Notes
Bipolar Cells	NA	BC6	Cck	NA	NA	encodes a protein in the gastrin/cholecystokinin family, thought to regulate neuron activity in the brain	Fig A: in primate retina https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2830016/figure/F5/	
Bipolar Cells	NA	BC6	NA	BC6 axon terminals	Syt2	inhibitory neurons, neurotransmitter release		
Bipolar Cells	NA	BC7	Igfn 1	NA	NA	involved in in retinal layer and synapse construction	Fig I: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr2_lrg.jpg	
Bipolar Cells	NA	BC8	Seripini1	NA	NA	unable to find	Fig F: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr5_lrg.jpg	
Bipolar Cells	NA	BC9	Seripini1	NA	NA	unable to find	Fig F: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr5_lrg.jpg	
Bipolar Cells	NA	BC9	Cpne9	NA	NA	upregulation of dendrite extension, response to Ca+	Fig B & C: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr5_lrg.jpg	
Bipolar Cells	NA	Rod BCs (RBCs)	Vstm2b	NA	NA	expression in mantle layer of brain and spinal cord, component of cell membrane	Fig B: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr2_lrg.jpg	
Bipolar Cells	NA	Rod BCs (RBCs)	Casp7	NA	NA	aspartic- and cytesine-type endopeptidase involved in neuronal apoptosis, UV response	Fig C: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr2_lrg.jpg	
Bipolar Cells	NA	Rod BCs (RBCs)	Rpa1	NA	NA	enables chromatin binding, involved in homologous recombination repair of double-stranded breaks	Fig D: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr2_lrg.jpg	
Bipolar Cells	NA	Rod BCs (RBCs)	Spock 3	NA	NA	enables glycosaminoglycan binding, involved in peptide cross-linking		
Bipolar Cells	NA	Rod BCs (RBCs)	Prkca/Pkca	NA	NA	calcium dependent protein kinase C, integrin binding activity; involved in chemical transmission, downregulating signal transduction	Fig C	
Bipolar Cells	NA	Rod BCs (RBCs)	Car8	NA	NA	involved in hydro-lyase activity, 		
Bipolar Cells	NA	Rod BCs (RBCs)	Sebox	NA	NA	DNA binding activity, embruonic development		
Bipolar Cells	NA	Pan-BC	Vsx2	NA	NA	part of the visual system homeobox (Vsx), involved in generating the eye and retinal development	Fig A and Fig C, top row: 	Fig A: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9245082/figure/F1/
Bipolar Cells	NA	Pan-BC	Otx2	NA	NA	homeobox TF, development of the head and choroid plexus	Fig A and Fig C, top row: 	
Bipolar Cells	NA	Pan-BC	Slc1a2	NA	NA	Protein: EAAT2	EAAT2 IHC, first image in A	
Bipolar Cells	NA	Cone BCs	Scgn	NA	NA	enables Ca+ binding	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3855033/figure/F2/	Fig D, magenta
Bipolar Cells	NA	3B	Prkar2b	NA	NA	cAMP-dependent protein kinase regulator activity, chemical synapse transmission, glutamatergic synapses	Fig G: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9245082/figure/F1/	
Bipolar Cells	NA	ON BCs (3-6, 13, 15) (6,7, 5A/B/C, 3A	Isl1	NA	NA	DNA-binding transcription activator activity, neuron development	Fig B	
Bipolar Cells	NA	ON BC but not 5D	Grm6	NA	NA	glutamate-activated G protein-coupled receptors (GPCRs)	First column: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2854669/figure/F1/	
Ganglion Cells	NA	NA	Slc7a6	NA	NA	encodes VGLUT2; enables basic amino acid transmembrane transporter activity; associated w/ membranes of synaptic vessicles; glutamate transport; expressed in neuron-rich regions of brain; ornithine transport	Fig A: https://www.jneurosci.org/content/jneuro/27/27/7245/F7.large.jpg	pan-RGC marker
Ganglion Cells	NA	NA	Rbpms	NA	NA	RNA binding protein w/ multiple splicing; exact function in retina unknown; regulates cell development in cardiomyocytes	https://ars.els-cdn.com/content/image/1-s2.0-S0021925822003842-gr2.jpg	pan-RGC marker; expressed exclusively in RGCs in the retina
Ganglion Cells	NA	NA	Pou4f1	NA	NA	member of Pou-IV class of neural transcription factors; expressed in newly differentiated RGCs; pivotal role in development of RGCs; directly regulates genes involved in axon guidance and neuronal development; may indirectly control transcription factors functioning in RGC subtype specification/differentiation; binds to promoters of key upstream regulators including Atoh7, Pou4f2, and Isl1 	Fig C: https://www.nature.com/articles/ncomms10472/figures/1	pan-RGC marker; aka Brn3a
Ganglion Cells	NA	NA	Pou4f2	NA	NA	member of Pou-IV class of neural transcription factors; forms complex w/ ISL1 to regulate RGC differentiation; Atoh7-Brn3b regulation pathway promotes RGC differentiation by repressing a group of reetinal developmental genes (Dlx1/Dlx2, Otx2, Crx); may be involved in maintaining visual system neurons in the retina	Fig F: https://www.researchgate.net/figure/Expression-of-Rit2-mRNA-and-protein-in-the-mouse-retina-The-top-panels-show_fig2_242334369	pan-RGC marker; aka Brn3b
Ganglion Cells	NA	NA	Pou4f3	NA	NA	member of Pou-IV class of neural transcription factors; positive regulation of transcription by RNA polymerase II; may play a role in determining or maintaining the identities of RGCs	Fig M: https://www.biorxiv.org/content/biorxiv/early/2020/06/20/2020.06.20.162859/F2.large.jpg	pan-RGC marker; aka Brn3c; associated with autosomal dominant deafness
Ganglion Cells	NA	NA	CD90	NA	NA	cell surface glycoprotein (cell adhesion molecule). It's purpose is a thymocyte differentiation antigen-1.	https://www.abcam.com/products/primary-antibodies/cd90--thy1-antibody-ab273071.html	
Ganglion Cells	NA	NA	SLC17A6	NA	NA	Predicted to enable L-glutamate transmembrane transporter activity and neurotransmitter transmembrane transporter activity; Involved in neurotransmitter loading into synaptic vesicle		
Ganglion Cells	NA	alpha-RGCs	Spp1	NA	NA	osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity 	Fig 4A: https://www.cell.com/cell-reports/pdf/S2211-1247%2823%2901049-5.pdf	main marker for alpha-RGCs; Spp1 levels correlate with severity of optic neuropaty in patients w/ glaucoma
Ganglion Cells	NA	alpha-RGCs	Calb1	NA	NA	calcium-binding protein; buffer entry of calcium upon stimulation of glutamate receptors; may play a role in preventing neuron death	Fig 2B: https://journals.plos.org/plosone/article/figures?id=10.1371/journal.pone.0200417	
Ganglion Cells	NA	alpha-RGCs	Pou4f1	NA	NA	member of Pou-IV class of neural transcription factors; expressed in newly differentiated RGCs; pivotal role in development of RGCs; directly regulates genes involved in axon guidance and neuronal development; may indirectly control transcription factors functioning in RGC subtype specification/differentiation; binds to promoters of key upstream regulators including Atoh7, Pou4f2, and Isl1	Fig 2D: https://www.researchgate.net/figure/Immunohistochemical-localization-of-surface-antigens-and-RGC-markers-used-in-our-RGC_fig2_303322226	
Ganglion Cells	NA	alpha-RGCs	Pou4f3	NA	NA	member of Pou-IV class of neural transcription factors; positive regulation of transcription by RNA polymerase II; may play a role in determining or maintaining the identities of RGCs	Fig M: https://www.biorxiv.org/content/biorxiv/early/2020/06/20/2020.06.20.162859/F2.large.jpg	
Ganglion Cells	NA	alpha-RGCs	Opn4	NA	NA	encodes a photoreceptive opsin protein that is expressed within the ganglion and amacrine cell layers of the retina; functions as a sensory photopigement and may also have photoisomerase activity; in mice this protein is coupled to a transient receptor potential ion channel through a G protein signaling pathway and produces a physiologic light resposne via membrane depolarization and increased intracellular calcium	https://www.researchgate.net/figure/Cre-Mediated-Recombination-with-Z-AP-and-Z-EG-Reporters-Labels-Melanopsin-Expressing_fig3_45166989	aka melanopsin
Ganglion Cells	NA	alpha-RGCs	NA	alphaON-S	Il1rapl2	member of the interleukin 1 receptor family; specifically expressed in the nervous system from embryonic day 12.5; located on x chromosome; similar to interleukin 1 accessory proteins	Fig S2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	same cluster as M4 in ipRGCs
Ganglion Cells	NA	alpha-RGCs	NA	alphaON-S	Spp1	osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity		
Ganglion Cells	NA	alpha-RGCs	NA	alphaON-S	Opn4	encodes a photoreceptive opsin protein that is expressed within the ganglion and amacrine cell layers of the retina; functions as a sensory photopigement and may also have photoisomerase activity; in mice this protein is coupled to a transient receptor potential ion channel through a G protein signaling pathway and produces a physiologic light resposne via membrane depolarization and increased intracellular calcium		
Ganglion Cells	NA	alpha-RGCs	NA	alphaON-S	Calb1	calcium-binding protein; buffer entry of calcium upon stimulation of glutamate receptors; may play a role in preventing neuron death		
Ganglion Cells	NA	alpha-RGCs	NA	alphaON-T	Kit	encodes a receptor tyrosine kinase; protects photoreceptor cells against both light-induced and inherited retinal degeneration; upon light damage, photoreceptor cells upregulate Kit ligand and activate KIT signaling, which induces nuclear accumulation of NRF2 and stimulates the expression of the antioidant gene Hmox1	Fig S2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	overexpression of KITL from a viral AAV8 vector prevents photoreceptor cell death and partially restores retinal function after light damage or in genetic models of human retinitis pigmentosa
Ganglion Cells	NA	alpha-RGCs	NA	alphaON-T	Spp1	osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity		
Ganglion Cells	NA	alpha-RGCs	NA	alphaOFF-T	Tpbg	encodes a leucine-rich transmembrane glycoprotein that may be involved in cell adhesion; required for normal development of synaptic ribbons and efficient release of neurotransmitters from RBCs to other cells; activates the CXCL12/CXCR7/pERK axis, which regulates the migratory and angiogenic activities of pericytes	Fig S2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	during retinal development, expression increases dramatically in the retina just before eye opening
Ganglion Cells	NA	alpha-RGCs	NA	alphaOFF-T	Spp1	osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity		
Ganglion Cells	NA	alpha-RGCs	NA	alphaOFF-T	Pou4f3	member of Pou-IV class of neural transcription factors; positive regulation of transcription by RNA polymerase II; may play a role in determining or maintaining the identities of RGCs		
Ganglion Cells	NA	alpha-RGCs	NA	alphaOFF-S	Fes	encodes the human counterpart of a feline sarcoma retrovirus protein with transforming capabilities; product has tyrosine-specific protein kinase activity and that activity is required for maintenance of cellular transformation; alternative splicing 	Fig S2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	
Ganglion Cells	NA	alpha-RGCs	NA	alphaOFF-S	Spp1	osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity		
Ganglion Cells	NA	T-RGCs	Tbr1	NA	NA	plays a critical role in the formation and survival of 2 types of OFF-sustained RGCs and orientation-selective J-RGCs; regulates dendritic morphogenesis; helps establish synaptic connections w/ bipolar cells; visual responsiveness	Fig B: https://www.researchgate.net/figure/Expression-of-Tbr1-in-four-types-of-OFF-laminating-RGCs-a-P21-retinal-whole-mount_fig9_324473129	main marker for T-RGCs
Ganglion Cells	NA	T-RGCs	Jam2	NA	NA	member of the junctional adhesion molecule family, which regulates cell polarity, blood-brain barrier function, endothelium permeability, and leukocyte migration		Pou4f1-Tbr1 transcriptional cascade controls the formation of Jam2-expressing retinal ganglion cells
Ganglion Cells	NA	T-RGCs	Pou4f3	NA	NA	member of Pou-IV class of neural transcription factors; positive regulation of transcription by RNA polymerase II; may play a role in determining or maintaining the identities of RGCs	Fig M: https://www.biorxiv.org/content/biorxiv/early/2020/06/20/2020.06.20.162859/F2.large.jpg	
Ganglion Cells	NA	T-RGCs	Pou4f2	NA	NA	member of Pou-IV class of neural transcription factors; forms complex w/ ISL1 to regulate RGC differentiation; Atoh7-Brn3b regulation pathway promotes RGC differentiation by repressing a group of reetinal developmental genes (Dlx1/Dlx2, Otx2, Crx); may be involved in maintaining visual system neurons in the retina	Fig F: https://www.researchgate.net/figure/Expression-of-Rit2-mRNA-and-protein-in-the-mouse-retina-The-top-panels-show_fig2_242334369	
Ganglion Cells	NA	T-RGCs	Calb2	NA	NA	enables calcium ion binding activity involved in regulation of presynpatic cytosolic calcium ion concentration; message targeting; intracellular calcium buffering; modulator of neuronal excitability; predicted to be involved in regulation of long-term synaptic potentiation and regulation of presynaptic cytosolic calcium ion concentration	Fig A: https://www.researchgate.net/figure/Differentiation-Defects-in-Rb-KO-SACs-A-P18-horizontal-sections-of-WT-Rb-KO-and_fig3_6228316	
Ganglion Cells	NA	T-RGCs	NA	J-RGC	Pcdh20	specific function is undetermined, but thought to play a role in the establishment and function of specific cell-cell connections in the brain	Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	
Ganglion Cells	NA	T-RGCs	NA	J-RGC	Tbr1	plays a critical role in the formation and survival of 2 types of OFF-sustained RGCs and orientation-selective J-RGCs; regulates dendritic morphogenesis; helps establish synaptic connections w/ bipolar cells; visual responsiveness		
Ganglion Cells	NA	T-RGCs	NA	J-RGC	Jam2	member of the junctional adhesion molecule family, which regulates cell polarity, blood-brain barrier function, endothelium permeability, and leukocyte migration		
Ganglion Cells	NA	T-RGCs	NA	Tbr1-S1	Irx4	crucial regulator of Slit1 expression, which guides retinal axons inside the OFL and provides intermediate targets for retinal axons during their growth within the retina		
Ganglion Cells	NA	T-RGCs	NA	Tbr1-S1	Tbr1	plays a critical role in the formation and survival of 2 types of OFF-sustained RGCs and orientation-selective J-RGCs; regulates dendritic morphogenesis; helps establish synaptic connections w/ bipolar cells; visual responsiveness		
Ganglion Cells	NA	T-RGCs	NA	Tbr1-S2	Calca	encodes calcitonin, which is involved in calcium regulation and acts to regulate phosphorus metabolism 		
Ganglion Cells	NA	T-RGCs	NA	Tbr1-S2	Tbr1	plays a critical role in the formation and survival of 2 types of OFF-sustained RGCs and orientation-selective J-RGCs; regulates dendritic morphogenesis; helps establish synaptic connections w/ bipolar cells; visual responsiveness		
Ganglion Cells	NA	T-RGCs	NA	Tbr1-Novel	Slc7a11	regulates metabolic reprogramming in both normal and cancer cells; transporter that controls the uptake of extracellular cystine in exchange for intracellular glutamate 		
Ganglion Cells	NA	T-RGCs	NA	Tbr1-Novel	Plpp4	enables diacylglycerol diphosphate phosphatase activity, identical protein binding activity, and phosphatidate phosphatase activity; phospholipid dephosphorylation and regulation of calcium ion import		novel type
Ganglion Cells	NA	T5-RGCs	Tusc5	NA	NA	predicted to be involved in endosome to plasma membrane protein transport + glucose import in response to insulin stimulus		potential subclass
Ganglion Cells	NA	T5-RGCs	NA	W3L1	Serpine2	inhibit serine proteases like Thrombin, urokinase, plasmin, and trypsin 		
Ganglion Cells	NA	T5-RGCs	NA	W3L1	Amigo2	cell-type specific dendritic scaling factor; regulates PDK1 membrane localization and Akt activation in endothelial cells		in Amigo2 KO mice, starburst amacrine cell and rod bipolar cell dendrites expand while arbors of other retinal neurons remain stable
Ganglion Cells	NA	T5-RGCs	NA	W3D1	Lypd1	predicted to enable acetylcholine receptor binding activity and acetylcholine receptor inhibitor activity 	Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	
Ganglion Cells	NA	T5-RGCs	NA	W3L2	Lypd1	predicted to enable acetylcholine receptor binding activity and acetylcholine receptor inhibitor activity 	Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	
Ganglion Cells	NA	T5-RGCs	NA	W3L2	Ntrk1	member of neurotrophic tyrosine kinase receptor family; leads to cell differentiation and may play a role in specifying sensory neuron subtypes 		
Ganglion Cells	NA	T5-RGCs	NA	W3D2	Prokr1	encodes a member of the G-protein-coupled receptor family, which binds to prokineticins, leading to the activation of MAPK and STAT signaling pathways 	Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	
Ganglion Cells	NA	T5-RGCs	NA	W3D3	Postn	encodes a secreted extracellular matrix protein that functions in tissue development and regeneration; encoded protein beind to integrins to support adhesion and migration of epithelial cells	Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	
Ganglion Cells	NA	T5-RGCs	NA	W3B	Zic1	encodes a member of the ZIC family of C2H2-type zinc finger proteins, which are important during development	Fig S2E: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	
Ganglion Cells	NA	T5-RGCs	NA	W3B	Sdk2	directs formation of a retinal circuit that detects differential motion		
Ganglion Cells	NA	T5/F-RGCs	Foxp2	NA	NA			JM 07/31/2024 Manually Inserted
Ganglion Cells	NA	T5/F-RGCs	Tusc5	NA	NA			JM 07/31/2024 Manually Inserted
Ganglion Cells	NA	T5/F-RGCs	NA	F-mini-ON	Irx4	crucial regulator of Slit1 expression, which guides retinal axons inside the OFL and provides intermediate targets for retinal axons during their growth within the retina		Foxp2 & Tusc5 moved above
Ganglion Cells	NA	T5/F-RGCs	NA	F-mini-ON	Foxp2	involved in growth of nerve cells, tranmission of signals between neurons, synaptic plasticity, and development of speech and language		
Ganglion Cells	NA	T5/F-RGCs	NA	F-mini-OFF	Pde1a	play a role in signal transduction by regulating intracellular cyclic nucleotide concentrations through hydrolysis of cAMP and/or cGMP to their respective nucleoside t-prime monophosphates	Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	
Ganglion Cells	NA	F-RGCs	Foxp2	NA	NA	involved in growth of nerve cells, tranmission of signals between neurons, synaptic plasticity, and development of speech and language		main marker for F-RGCs
Ganglion Cells	NA	F-RGCs	Foxp1	NA	NA	regulates the competence to generate early-born retinal cell types; promotes early and represses late progenitor gene expression; required for extending early retinal cell production after loss of Jarid2		
Ganglion Cells	NA	F-RGCs	Pou4f1	NA	NA	member of Pou-IV class of neural transcription factors; expressed in newly differentiated RGCs; pivotal role in development of RGCs; directly regulates genes involved in axon guidance and neuronal development; may indirectly control transcription factors functioning in RGC subtype specification/differentiation; binds to promoters of key upstream regulators including Atoh7, Pou4f2, and Isl1	Fig C: https://www.nature.com/articles/ncomms10472/figures/1	
Ganglion Cells	NA	F-RGCs	Pou4f2	NA	NA	member of Pou-IV class of neural transcription factors; forms complex w/ ISL1 to regulate RGC differentiation; Atoh7-Brn3b regulation pathway promotes RGC differentiation by repressing a group of reetinal developmental genes (Dlx1/Dlx2, Otx2, Crx); may be involved in maintaining visual system neurons in the retina	Fig F: https://www.researchgate.net/figure/Expression-of-Rit2-mRNA-and-protein-in-the-mouse-retina-The-top-panels-show_fig2_242334369	
Ganglion Cells	NA	F-RGCs	Pou4f3	NA	NA	member of Pou-IV class of neural transcription factors; positive regulation of transcription by RNA polymerase II; may play a role in determining or maintaining the identities of RGCs	Fig M: https://www.biorxiv.org/content/biorxiv/early/2020/06/20/2020.06.20.162859/F2.large.jpg	
Ganglion Cells	NA	F-RGCs	Ebf3	NA	NA	encodes EBF protein which inhibits cell survival through the regulation of genes involved in cell cycle arrest and apoptosis		
Ganglion Cells	NA	F-RGCs	NA	F-midi-ON	Anza3			
Ganglion Cells	NA	F-RGCs	NA	F-midi-ON	Foxp2	involved in growth of nerve cells, tranmission of signals between neurons, synaptic plasticity, and development of speech and language		
Ganglion Cells	NA	F-RGCs	NA	F-midi-OFF	Cdk15	enables protein serine/threonine kinase activity; predicted to be involved in protein phosphorylation and regulation of transcription involved in G1/S transition of mitotic cell cycle		
Ganglion Cells	NA	F-RGCs	NA	F-midi-OFF	Foxp2	involved in growth of nerve cells, tranmission of signals between neurons, synaptic plasticity, and development of speech and language		
Ganglion Cells	NA	F-RGCs	NA	F-Novel	Coch	plays a role in the control of cell shape and motility in the trabecular meshwork		novel type; S1/5 bistratified RGC
Ganglion Cells	NA	F-RGCs	NA	F-Novel	Rhox5	enables DNA-binding transcription activator activity, RNA polymerase II-specific		
Ganglion Cells	NA	F-RGCs	NA	F-Novel	Prdm8	encodes a protein that belongs to a family of histone methyltransferases that predominantly act as negative regulators of transcription 	Fig S2B: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf	
Ganglion Cells	NA	ipRGCs	Opn4	NA	NA	encodes photoreceptive protein; mediates wavelength-specific, light-dependent vascular relaxation	https://www.researchgate.net/figure/Cre-Mediated-Recombination-with-Z-AP-and-Z-EG-Reporters-Labels-Melanopsin-Expressing_fig3_45166989	main marker for ipRGCs
Ganglion Cells	NA	ipRGCs	Eomes	NA	NA	transcription factor which is crucial for embryonic development of mesoderm and the CNS 		
Ganglion Cells	NA	ipRGCs	Tbx20	NA	NA	encodes a T-box family member; involved in the regulation of developmental processes; essential for heart development		
Ganglion Cells	NA	ipRGCs	Adcyap1	NA	NA	encodes a secreted proprotein that is further processed into multiple mature peptide that stimulate adenylate cyclase and incrase cAMP levels; products are key mediators of neuroendocrine stress responses 		
Ganglion Cells	NA	ipRGCs	Spp1	NA	NA	osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity 	Fig 4A: https://www.cell.com/cell-reports/pdf/S2211-1247%2823%2901049-5.pdf	
