Marker,Major_Name,Name,Ensembl,Marker,Coefficient
Nnat,BC,BC3B,ENSMUSG00000067786,Nnat,0.7382948571843525
Sgcz,BC,BC3B,ENSMUSG00000039539,Sgcz,0.3209614847582335
Sulf1,BC,BC3B,ENSMUSG00000016918,Sulf1,0.2829819485213922
Cacna2d1,BC,BC4,ENSMUSG00000040118,Cacna2d1,0.1505269136000195
Kcnd3,BC,BC4,ENSMUSG00000040896,Kcnd3,0.2997861593062903
Kctd16,BC,BC4,ENSMUSG00000051401,Kctd16,0.1703178712499125
Phyhipl,BC,BC4,ENSMUSG00000037747,Phyhipl,0.1963553216124071
Zfhx3,BC,BC4,ENSMUSG00000038872,Zfhx3,0.2199803554688955
Grm6,BC,BC5A,ENSMUSG00000000617,Grm6,0.3167302363832009
Hlf,BC,BC5A,ENSMUSG00000003949,Hlf,0.4773965477571353
Lrrc4c,BC,BC5A,ENSMUSG00000050587,Lrrc4c,0.2436008729502056
Nlgn1,BC,BC5A,ENSMUSG00000063887,Nlgn1,0.2616942994092456
Slc24a2,BC,BC5A,ENSMUSG00000037996,Slc24a2,0.3244821109186965
Slc8a1,BC,BC5A,ENSMUSG00000054640,Slc8a1,0.5192252387152967
Sox6,BC,BC5A,ENSMUSG00000051910,Sox6,0.8344928329174108
Brinp3,BC,BC5B,ENSMUSG00000035131,Brinp3,0.4481540317760777
Dgkh,BC,BC5B,ENSMUSG00000034731,Dgkh,0.3601195217463094
Ndnf,BC,BC5B,ENSMUSG00000049001,Ndnf,0.2815666025763964
Nwd2,BC,BC5B,ENSMUSG00000090061,Nwd2,0.34032608390446
Sphkap,BC,BC5B,ENSMUSG00000026163,Sphkap,0.3359274958891474
Thrb,BC,BC5B,ENSMUSG00000021779,Thrb,0.3758594970359696
Anks1b,BC,BC5C,ENSMUSG00000058589,Anks1b,0.3130998689805686
Csmd1,BC,BC5C,ENSMUSG00000060924,Csmd1,0.462233201403908
Inpp4b,BC,BC5C,ENSMUSG00000037940,Inpp4b,0.3103898006688093
Kcnb2,BC,BC5C,ENSMUSG00000092083,Kcnb2,0.4423961866073416
Tmem200a,BC,BC5C,ENSMUSG00000049420,Tmem200a,0.2739235147360284
Vwc2l,BC,BC5C,ENSMUSG00000045648,Vwc2l,0.3330221321708879
Cadm2,BC,BC5D,ENSMUSG00000064115,Cadm2,0.2712696518938558
Dach1,BC,BC5D,ENSMUSG00000055639,Dach1,0.1910115366751149
Edil3,BC,BC5D,ENSMUSG00000034488,Edil3,0.1821810343486959
Epha7,BC,BC5D,ENSMUSG00000028289,Epha7,0.2735489236993499
Hcn1,BC,BC5D,ENSMUSG00000021730,Hcn1,0.2438257562538666
Kcnd2,BC,BC5D,ENSMUSG00000060882,Kcnd2,0.3143458905774052
Rgs7,BC,BC5D,ENSMUSG00000026527,Rgs7,0.2072346913991775
Schip1,BC,BC5D,ENSMUSG00000027777,Schip1,0.317062112742123
Cck,BC,BC6,ENSMUSG00000032532,Cck,0.7100039529922039
Chst9,BC,BC6,ENSMUSG00000047161,Chst9,0.5450849524222405
Gnb3,BC,BC6,ENSMUSG00000023439,Gnb3,0.3395307644006132
Gpc6,BC,BC6,ENSMUSG00000058571,Gpc6,0.7113553339134654
Grid1,BC,BC6,ENSMUSG00000041078,Grid1,0.3372351558208123
Grid2,BC,BC6,ENSMUSG00000071424,Grid2,0.5234272797461672
Guk1,BC,BC6,ENSMUSG00000020444,Guk1,0.3901832167344187
Isl1,BC,BC6,ENSMUSG00000042258,Isl1,0.3253056672913899
Otx2os1,BC,BC6,ENSMUSG00000098682,Otx2os1,0.3338793046860326
Ptprm,BC,BC6,ENSMUSG00000033278,Ptprm,0.725501866679466
Unc13c,BC,BC6,ENSMUSG00000062151,Unc13c,0.3640289692634817
Adcy2,BC,BC7,ENSMUSG00000021536,Adcy2,0.3449994569259072
Cdh9,BC,BC7,ENSMUSG00000025370,Cdh9,0.3446017270871759
Dlgap2,BC,BC7,ENSMUSG00000047495,Dlgap2,0.2654881889306872
Pcdh9,BC,BC7,ENSMUSG00000055421,Pcdh9,0.3078448868938231
Pde1c,BC,BC7,ENSMUSG00000004347,Pde1c,0.2693199019253698
Reln,BC,BC7,ENSMUSG00000042453,Reln,0.3196991518404856
Sox5,BC,BC7,ENSMUSG00000041540,Sox5,0.418529251905175
Tmsb10,BC,BC7,ENSMUSG00000079523,Tmsb10,0.5529999230056407
Zeb2,BC,BC7,ENSMUSG00000026872,Zeb2,0.2624482377899165
C130073E24Rik,BC,BC8,ENSMUSG00000110246,C130073E24Rik,0.5747228820087469
Cntnap2,BC,BC8,ENSMUSG00000039419,Cntnap2,0.3777432178313369
Csmd3,BC,BC8,ENSMUSG00000022311,Csmd3,0.9573136758418987
Dmd,BC,BC8,ENSMUSG00000045103,Dmd,0.3171029533506329
Npas3,BC,BC8,ENSMUSG00000021010,Npas3,0.4490515510190635
Nrg1_ENSMUSG00000062991,BC,BC8,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.3363918020221216
Plcb1,BC,BC8,ENSMUSG00000051177,Plcb1,0.3905876157726092
Spock3,BC,BC8,ENSMUSG00000054162,Spock3,0.4992168892910641
Stmn1,BC,BC8,ENSMUSG00000028832,Stmn1,0.3385938828344185
Sybu,BC,BC8,ENSMUSG00000022340,Sybu,0.4158315962870609
Zfp804a,BC,BC8,ENSMUSG00000070866,Zfp804a,0.3264314974620986
Cpne9,BC,BC9,ENSMUSG00000030270,Cpne9,0.4492896515729567
Cttnbp2,BC,BC9,ENSMUSG00000000416,Cttnbp2,0.1700540926599598
Map1b,BC,BC9,ENSMUSG00000052727,Map1b,0.2259827542540748
Ntrk3,BC,BC9,ENSMUSG00000059146,Ntrk3,0.2492865559852805
Pcdh11x,BC,BC9,ENSMUSG00000034755,Pcdh11x,0.3589946210038504
Snhg11,BC,BC9,ENSMUSG00000044349,Snhg11,0.2176614932007127
Tenm1,BC,BC9,ENSMUSG00000016150,Tenm1,0.4413664020970245
Tshz2,BC,BC9,ENSMUSG00000047907,Tshz2,0.3195964350205693
Ablim1,BC,RBC,ENSMUSG00000025085,Ablim1,0.3069233139090948
Calm1,BC,RBC,ENSMUSG00000001175,Calm1,0.4539327135761375
Car8,BC,RBC,ENSMUSG00000041261,Car8,0.298746586446016
Cep112,BC,RBC,ENSMUSG00000020728,Cep112,0.2453137254916077
Kcnmb2,BC,RBC,ENSMUSG00000037610,Kcnmb2,0.2390946240291269
Lrrtm4,BC,RBC,ENSMUSG00000052581,Lrrtm4,0.3550365918670489
Prkca,BC,RBC,ENSMUSG00000050965,Prkca,0.6459182627219217
Zbtb20,BC,RBC,ENSMUSG00000022708,Zbtb20,0.2430131170292955
