Marker,Major_Name,Name,Ensembl,Marker,Coefficient
Gria1,RGC,4_FminiOFF,ENSMUSG00000020524,Gria1,0.8816765216819963
Cadm2,RGC,5_J-RGC,ENSMUSG00000064115,Cadm2,0.4889745257011958
Lingo2,RGC,5_J-RGC,ENSMUSG00000045083,Lingo2,0.4542133001839235
Nrcam,RGC,6_W3B,ENSMUSG00000020598,Nrcam,0.4507214225740413
Runx1t1,RGC,6_W3B,ENSMUSG00000006586,Runx1t1,0.4306375804102936
Kitl,RGC,7_Novel,ENSMUSG00000019966,Kitl,0.5629840329447332
Marchf1,RGC,7_Novel,ENSMUSG00000036469,Marchf1,0.3797504896976668
Tbx20,RGC,7_Novel,ENSMUSG00000031965,Tbx20,0.5506005580603411
Lhfpl3,RGC,9_Tbr1_Novel,ENSMUSG00000106379,Lhfpl3,0.5464555807120897
Osbpl1a,RGC,9_Tbr1_Novel,ENSMUSG00000044252,Osbpl1a,0.3756071718871323
Actb,RGC,RGC,ENSMUSG00000029580,Actb,0.8291076538559762
Atp1b1,RGC,RGC,ENSMUSG00000026576,Atp1b1,0.4703381955245342
Gapdh,RGC,RGC,ENSMUSG00000057666,Gapdh,0.5479129509396288
Mgst3,RGC,RGC,ENSMUSG00000026688,Mgst3,0.4999523459507003
Rps23,RGC,RGC,ENSMUSG00000049517,Rps23,0.535284522997287
