Name	Marker	Curated	Queried	Major_Name
NOVEL_24	Alcam		Queried	RGC
TBR1-NOVEL	Alcam		Queried	RGC
W3D1	Alcam		Queried	RGC
AC23	Aldoc		Queried	AC
AC6	Aldoc		Queried	AC
ALPHAOFF-S	Aldoc		Queried	RGC
ALPHAON-S	Aldoc		Queried	RGC
ALPHAON-T	Aldoc		Queried	RGC
ASTROCYTE	Aldoc		Queried	ASTROCYTE
M3, M5, OR M6	Aldoc		Queried	RGC
NOVEL_18	Aldoc		Queried	RGC
NOVEL_26	Aldoc		Queried	RGC
NOVEL_30	Aldoc		Queried	RGC
NOVEL_37	Aldoc		Queried	RGC
AC11	Alk		Queried	AC
AC13	Alk		Queried	AC
AC15	Alk		Queried	AC
AC33	Alk		Queried	AC
AC56	Alk		Queried	AC
DV-OODSGC	Alk		Queried	RGC
NOVEL_10	Alk		Queried	RGC
NOVEL_27	Alk		Queried	RGC
NOVEL_37	Alk		Queried	RGC
NOVEL_39	Alk		Queried	RGC
NT-OODSGC	Alk		Queried	RGC
TBR1-NOVEL	Alk		Queried	RGC
W3L1	Amigo2	Curated		RGC
IGF2+ ASTROCYTE	Angpt4	Curated		ASTROCYTE
AC	Anks1b		Queried	AC
AC18	Anks1b		Queried	AC
BC5C	Anks1b		Queried	BC
NOVEL_10	Ano3		Queried	RGC
NOVEL_24	Ano3		Queried	RGC
NOVEL_39	Ano3		Queried	RGC
W3D1	Ano3		Queried	RGC
F-MIDI-ON	Anza3	Curated		RGC
AC58	Apela	Curated		AC
NOVEL_15	Apela	Curated		RGC
MG	Aqp4	Curated	Queried	MG
HC	Arhgap15		Queried	HC
AC6	Arhgef26		Queried	AC
ENDOTHELIAL	Arl15		Queried	ENDOTHELIAL
CONE	Arr3	Curated	Queried	CONE
AC	Asic2		Queried	AC
AC1	Asic2		Queried	AC
AC20	Asic2		Queried	AC
AC33	Asic2		Queried	AC
ALPHAON-T	Asic2		Queried	RGC
BC	Asic2		Queried	BC
M1B	Asic2		Queried	RGC
NOVEL_15	Asic2		Queried	RGC
OODS_CCK_14	Asic2		Queried	RGC
TBR1-S2	Asic2		Queried	RGC
AC32	Astn2		Queried	AC
AC6	Astn2		Queried	AC
M2	Astn2		Queried	RGC
NOVEL_35	Astn2		Queried	RGC
OODS_CCK_14	Astn2		Queried	RGC
ASTROCYTE	Atf3		Queried	ASTROCYTE
RGC	Atf3		Queried	RGC
PERICYTE	Atp1a2		Queried	PERICYTE
NOVEL_27	Atp1b1		Queried	RGC
NOVEL_37	Atp1b1		Queried	RGC
BC3A	Atp2b1		Queried	BC
BC5D	Atp2b1		Queried	BC
AC36	Atrnl1		Queried	AC
AC38	Bcl11b	Curated		AC
AC1	Bhlhe22		Queried	AC
BC2	Bhlhe22		Queried	BC
NOVEL_35	Bhlhe22		Queried	RGC
NOVEL_44	Bhlhe22	Curated		RGC
BC2	Bhlhe22/Bhlhb5	Curated		BC
AC15	Brinp3		Queried	AC
AC18	Brinp3		Queried	AC
AC28	Brinp3		Queried	AC
AC35	Brinp3		Queried	AC
AC36	Brinp3		Queried	AC
AC50	Brinp3		Queried	AC
BC5B	Brinp3		Queried	BC
NOVEL_19	Brinp3		Queried	RGC
NOVEL_29	Brinp3		Queried	RGC
NOVEL_37	Brinp3		Queried	RGC
W3D1	Brinp3		Queried	RGC
BC	Bsg		Queried	BC
ENDOTHELIAL	Bsg		Queried	ENDOTHELIAL
IFN-RESPONSE MG	Bst2	Curated		MG
AC14	C130073e24rik		Queried	AC
AC18	C130073e24rik		Queried	AC
AC24	C130073e24rik		Queried	AC
AC59	C130073e24rik		Queried	AC
BC8	C130073e24rik		Queried	BC
NOVEL_26	C130073e24rik		Queried	RGC
W3D1	C130073e24rik		Queried	RGC
MICROGLIA	C1qa		Queried	MICROGLIA
MICROGLIA	C1qb		Queried	MICROGLIA
MICROGLIA	C1qc		Queried	MICROGLIA
AC	C1ql1		Queried	AC
AC11	C1ql1		Queried	AC
AC2	C1ql1		Queried	AC
AC21	C1ql1		Queried	AC
AC22	C1ql1		Queried	AC
AC25	C1ql1		Queried	AC
AC34	C1ql1		Queried	AC
AC39	C1ql1		Queried	AC
AC43	C1ql1		Queried	AC
AC46	C1ql1		Queried	AC
AC48	C1ql1		Queried	AC
AC50	C1ql1		Queried	AC
AC61	C1ql1		Queried	AC
AC8	C1ql1		Queried	AC
HC	C1ql1		Queried	HC
AC11	C1ql2		Queried	AC
AC18	C1ql2		Queried	AC
AC22	C1ql2		Queried	AC
AC34	C1ql2		Queried	AC
AC41	C1ql2		Queried	AC
AC46	C1ql2		Queried	AC
AC48	C1ql2		Queried	AC
AC5	C1ql2		Queried	AC
AC50	C1ql2		Queried	AC
AC61	C1ql2		Queried	AC
AC7	C1ql2		Queried	AC
AC8	C1ql2		Queried	AC
AC21	C1ql3		Queried	AC
AC50	C1ql3		Queried	AC
AC52	C1ql3		Queried	AC
BC1B	Cabp5		Queried	BC
BC3A	Cabp5		Queried	BC
BC3B	Cabp5		Queried	BC
BC5A	Cabp5	Curated	Queried	BC
BC5B	Cabp5	Curated	Queried	BC
AC1	Cacna2d1		Queried	AC
AC17	Cacna2d1		Queried	AC
AC52	Cacna2d1		Queried	AC
BC4	Cacna2d1		Queried	BC
AC15	Cacna2d3		Queried	AC
AC10	Cacnb2		Queried	AC
AC15	Cacng3		Queried	AC
AC26	Cacng3		Queried	AC
AC31	Cacng3		Queried	AC
AC25	Calb1		Queried	AC
AC3	Calb1		Queried	AC
ALPHA-RGC	Calb1	Curated		RGC
ALPHAON-S	Calb1	Curated	Queried	RGC
D-OODSGC	Calb1	Curated		RGC
HC	Calb1		Queried	HC
NOVEL_10	Calb1		Queried	RGC
NOVEL_24	Calb1		Queried	RGC
NOVEL_30	Calb1		Queried	RGC
TBR1-NOVEL	Calb1		Queried	RGC
ROD	Calb2		Queried	ROD
T-RGC	Calb2	Curated		RGC
V-OODSGC	Calb2	Curated		RGC
TBR1-S2	Calca	Curated		RGC
PERICYTE	Cald1		Queried	PERICYTE
AC11	Camk4		Queried	AC
BC4	Camk4		Queried	BC
AC3	Car2		Queried	AC
AC8	Car2		Queried	AC
AC9	Car2		Queried	AC
BC1B	Car2		Queried	BC
AC13	Car3		Queried	AC
AC35	Car3		Queried	AC
AC14	Car8		Queried	AC
AC38	Car8		Queried	AC
AC41	Car8		Queried	AC
RBC	Car8	Curated	Queried	BC
D-OODSGC	Cartpt	Curated		RGC
N-OODSGC	Cartpt	Curated		RGC
NOVEL_14	Cartpt	Curated		RGC
OODSGC	Cartpt	Curated		RGC
ROD	Cartpt		Queried	ROD
V-OODSGC	Cartpt	Curated		RGC
RBC	Casp7	Curated		BC
AC5	Cbfa2t3	Curated		AC
AC14	Cbln2		Queried	AC
AC18	Cbln2		Queried	AC
AC22	Cbln2		Queried	AC
AC34	Cbln2		Queried	AC
AC40	Cbln2		Queried	AC
AC47	Cbln2		Queried	AC
AC53	Cbln2		Queried	AC
AC55	Cbln2		Queried	AC
AC57	Cbln2		Queried	AC
AC59	Cbln2		Queried	AC
AC6	Cbln2		Queried	AC
AC61	Cbln2		Queried	AC
AC22	Cbln4	Curated	Queried	AC
AC43	Cbln4		Queried	AC
AC10	Cck		Queried	AC
AC18	Cck		Queried	AC
BC	Cck		Queried	BC
BC6	Cck	Curated	Queried	BC
NOVEL_27	Cck		Queried	RGC
OODS_CCK_14	Cck		Queried	RGC
ASTROCYTE	Ccn1		Queried	ASTROCYTE
CYCLING MICROGLIA	Ccnb2	Curated		MICROGLIA
DENDRITIC CELL	Ccr2	Curated		IMMUNE
MONOCYTE	Ccr2	Curated		IMMUNE
DENDRITIC CELL	Cd209a	Curated		IMMUNE
MONOCYTE	Cd209a	Curated		IMMUNE
M1A	Cd24a		Queried	RGC
ROD	Cd39	Curated		ROD
T CELL	Cd3d	Curated		IMMUNE
CYCLING MICROGLIA	Cd52		Queried	MICROGLIA
NOVEL_20	Cd63		Queried	RGC
NOVEL_30	Cd63		Queried	RGC
DENDRITIC CELL	Cd74	Curated		IMMUNE
MICROGLIA	Cd74	Curated	Queried	MICROGLIA
B CELL	Cd79a	Curated		IMMUNE
AC	Cd90	Curated		AC
RGC	Cd90	Curated		RGC
NOVEL_37	Cdh1	Curated		RGC
ALPHAOFF-S	Cdh12		Queried	RGC
BC4	Cdh12		Queried	BC
BC9	Cdh12		Queried	BC
NOVEL_36	Cdh12		Queried	RGC
OODS_CCK_14	Cdh12		Queried	RGC
BC3A	Cdh18		Queried	BC
BC5B	Cdh18		Queried	BC
BC6	Cdh18		Queried	BC
CONE	Cdh18		Queried	CONE
M1B	Cdh18		Queried	RGC
NOVEL_18	Cdh18		Queried	RGC
NOVEL_8	Cdh18		Queried	RGC
OODS_CCK_14	Cdh18		Queried	RGC
AC20	Cdh20		Queried	AC
AC31	Cdh20		Queried	AC
AC34	Cdh20		Queried	AC
AC39	Cdh20		Queried	AC
AC49	Cdh20		Queried	AC
AC52	Cdh20		Queried	AC
AC6	Cdh20		Queried	AC
AC61	Cdh20		Queried	AC
AC15	Cdh22		Queried	AC
MOUSE AC	Cdh22		Queried	AC
AC	Cdh6		Queried	AC
AC17	Cdh6		Queried	AC
AC35	Cdh6		Queried	AC
AC41	Cdh6		Queried	AC
AC54	Cdh6		Queried	AC
DV-OODSGC	Cdh6		Queried	RGC
NOVEL_10	Cdh6		Queried	RGC
NOVEL_36	Cdh6		Queried	RGC
NOVEL_7	Cdh6		Queried	RGC
NOVEL_8	Cdh6		Queried	RGC
AC27	Cdh8		Queried	AC
AC30	Cdh8		Queried	AC
AC58	Cdh8		Queried	AC
BC1B	Cdh8		Queried	BC
BC2	Cdh8		Queried	BC
NOVEL_37	Cdh8		Queried	RGC
TBR1-NOVEL	Cdh8		Queried	RGC
BC7	Cdh9		Queried	BC
M3, M5, OR M6	Cdhr1	Curated		RGC
AC14	Cdk14		Queried	AC
F-MIDI-OFF	Cdk15	Curated		RGC
CYCLING MICROGLIA	Cdkn1a		Queried	MICROGLIA
AC34	Cdkn1c		Queried	AC
AC8	Cdkn1c		Queried	AC
ALPHAOFF-T	Cdkn1c		Queried	RGC
ALPHAON-T	Cdkn1c		Queried	RGC
NOVEL_37	Ceacam	Curated		RGC
CYCLING ASTROCYTE	Cenpa	Curated		ASTROCYTE
RBC	Cep112		Queried	BC
AC25	Chgb		Queried	AC
AC31	Chgb		Queried	AC
AC43	Chgb		Queried	AC
AC8	Chgb		Queried	AC
BC9	Chgb		Queried	BC
HC	Chgb		Queried	HC
RBC	Chgb		Queried	BC
REACTIVE ASTROCYTE	Chil1	Curated		ASTROCYTE
AC18	Chrm2		Queried	AC
AC38	Chrm2		Queried	AC
BC2	Chrm2		Queried	BC
BC5B	Chrm2	Curated	Queried	BC
MOUSE AC	Chrm2		Queried	AC
NOVEL_35	Chrm2	Curated		RGC
W3D2	Chrm2		Queried	RGC
AC11	Chrm3		Queried	AC
AC31	Chrm3		Queried	AC
AC37	Chrm3		Queried	AC
AC5	Chrm3		Queried	AC
AC8	Chrm3		Queried	AC
BC5C	Chrm3		Queried	BC
BC7	Chrm3		Queried	BC
F-MIDI-ON	Chrm3		Queried	RGC
NOVEL_11	Chrm3		Queried	RGC
NOVEL_20	Chrm3		Queried	RGC
NOVEL_44	Chrm3		Queried	RGC
AC1	Chst9		Queried	AC
AC52	Chst9		Queried	AC
AC7	Chst9		Queried	AC
BC6	Chst9		Queried	BC
W3D1	Chst9		Queried	RGC
CYCLING ASTROCYTE	Cks2	Curated		ASTROCYTE
ENDOTHELIAL	Cldn5	Curated	Queried	ENDOTHELIAL
BC3A	Clstn2		Queried	BC
DV-OODSGC	Clstn2		Queried	RGC
M1A	Clstn2		Queried	RGC
M1B	Clstn2		Queried	RGC
NOVEL_24	Clstn2		Queried	RGC
NOVEL_7	Clstn2		Queried	RGC
NOVEL_8	Clstn2		Queried	RGC
ALPHAON-T	Clu		Queried	RGC
MG	Clu		Queried	MG
NOVEL_44	Clu		Queried	RGC
ROD	Cmss1		Queried	ROD
AC40	Cngb3		Queried	AC
AC47	Cngb3		Queried	AC
AC52	Cngb3		Queried	AC
AC55	Cngb3		Queried	AC
AC59	Cngb3		Queried	AC
BC3B	Cngb3		Queried	BC
BC5B	Cngb3		Queried	BC
CONE	Cngb3		Queried	CONE
AC34	Cntn4		Queried	AC
BC5C	Cntn4		Queried	BC
MOUSE AC	Cntn4		Queried	AC
NT-OODSGC	Cntn4		Queried	RGC
RBC	Cntn4		Queried	BC
AC21	Cntn5		Queried	AC
AC30	Cntn5		Queried	AC
AC42	Cntn5		Queried	AC
AC46	Cntn5		Queried	AC
AC50	Cntn5		Queried	AC
AC51	Cntn5		Queried	AC
AC54	Cntn5		Queried	AC
AC56	Cntn5		Queried	AC
AC7	Cntn5		Queried	AC
BC5A	Cntn5		Queried	BC
BC5C	Cntn5		Queried	BC
DV-OODSGC	Cntn5		Queried	RGC
F-MIDI-OFF	Cntn5		Queried	RGC
M1B	Cntn5		Queried	RGC
NOVEL_11	Cntn5		Queried	RGC
NOVEL_13	Cntn5		Queried	RGC
NOVEL_20	Cntn5		Queried	RGC
NOVEL_30	Cntn5		Queried	RGC
NOVEL_39	Cntn5		Queried	RGC
NOVEL_8	Cntn5		Queried	RGC
TBR1-NOVEL	Cntn5		Queried	RGC
TBR1-S2	Cntn5		Queried	RGC
AC10	Cntn6	Curated	Queried	AC
AC2	Cntn6		Queried	AC
AC19	Cntnap2		Queried	AC
AC27	Cntnap2		Queried	AC
AC3	Cntnap2		Queried	AC
AC43	Cntnap2		Queried	AC
AC8	Cntnap2		Queried	AC
BC8	Cntnap2		Queried	BC
F-MIDI-ON	Cntnap2		Queried	RGC
F-NOVEL	Cntnap2		Queried	RGC
M1A	Cntnap2		Queried	RGC
M1B	Cntnap2		Queried	RGC
NOVEL_18	Cntnap2		Queried	RGC
NOVEL_27	Cntnap2		Queried	RGC
NOVEL_29	Cntnap2		Queried	RGC
NOVEL_44	Cntnap2		Queried	RGC
AC29	Cntnap5a		Queried	AC
AC32	Cntnap5a		Queried	AC
AC50	Cntnap5a		Queried	AC
BC3A	Cntnap5a		Queried	BC
NOVEL_13	Cntnap5a		Queried	RGC
NOVEL_15	Cntnap5a		Queried	RGC
NOVEL_34	Cntnap5a		Queried	RGC
TBR1-S1	Cntnap5a		Queried	RGC
W3D1	Cntnap5a		Queried	RGC
AC24	Cntnap5b		Queried	AC
AC44	Cntnap5b		Queried	AC
AC52	Cntnap5b		Queried	AC
AC39	Coch		Queried	AC
ALPHAOFF-T	Coch		Queried	RGC
ALPHAON-S	Coch		Queried	RGC
F-NOVEL	Coch	Curated	Queried	RGC
NOVEL_36	Coch	Curated	Queried	RGC
BC4	Col11a1	Curated		BC
AC17	Col25a1		Queried	AC
AC19	Col25a1		Queried	AC
AC36	Col25a1		Queried	AC
D-OODSGC	Col25a1	Curated		RGC
DV-OODSGC	Col25a1		Queried	RGC
V-OODSGC	Col25a1	Curated		RGC
RPE	Col8a1		Queried	RPE
MG	Col9a1		Queried	MG
CYCLING MICROGLIA	Coro1a		Queried	MICROGLIA
REACTIVE ASTROCYTE	Cp	Curated		ASTROCYTE
ALPHAOFF-S	Cplx1		Queried	RGC
ALPHAON-S	Cplx1		Queried	RGC
ALPHAON-T	Cplx1		Queried	RGC
NOVEL_25	Cplx1		Queried	RGC
NOVEL_26	Cplx1		Queried	RGC
NOVEL_27	Cplx1		Queried	RGC
NOVEL_29	Cplx1		Queried	RGC
NOVEL_34	Cplx1		Queried	RGC
NOVEL_36	Cplx1		Queried	RGC
NOVEL_37	Cplx1		Queried	RGC
NOVEL_39	Cplx1		Queried	RGC
NT-OODSGC	Cplx1		Queried	RGC
AC48	Cplx2		Queried	AC
DV-OODSGC	Cplx2		Queried	RGC
F-MIDI-OFF	Cplx2		Queried	RGC
NOVEL_11	Cplx2		Queried	RGC
NOVEL_13	Cplx2		Queried	RGC
AC42	Cpm		Queried	AC
AC57	Cpm		Queried	AC
AC62	Cpm		Queried	AC
AC18	Cpne4	Curated	Queried	AC
M1A	Cpne4		Queried	RGC
NOVEL_15	Cpne4		Queried	RGC
NOVEL_34	Cpne4		Queried	RGC
TBR1-NOVEL	Cpne4		Queried	RGC
W3D1	Cpne4		Queried	RGC
AC21	Cpne5		Queried	AC
AC48	Cpne5		Queried	AC
AC54	Cpne5		Queried	AC
AC8	Cpne5		Queried	AC
M1B	Cpne5		Queried	RGC
NOVEL_29	Cpne5		Queried	RGC
BC9	Cpne9	Curated	Queried	BC
NOVEL_36	Cpne9		Queried	RGC
ASTROCYTE	Creb5		Queried	ASTROCYTE
RGC	Creb5		Queried	RGC
AC37	Crh	Curated		AC
DV-OODSGC	Crhbp		Queried	RGC
NOVEL_13	Crhbp		Queried	RGC
NOVEL_15	Crhbp		Queried	RGC
NOVEL_35	Crhbp		Queried	RGC
TBR1-NOVEL	Crhbp		Queried	RGC
TBR1-S1	Crhbp		Queried	RGC
M1B	Crim1		Queried	RGC
OODS_CCK_14	Crim1		Queried	RGC
PERICYTE	Crip1		Queried	PERICYTE
AC63	Crip2	Curated		AC
ALPHAON-T	Crip2		Queried	RGC
J-RGC	Crip2		Queried	RGC
RGC	Cryab		Queried	RGC
AC2	Crybb3	Curated		AC
AC1	Csmd1		Queried	AC
AC16	Csmd1		Queried	AC
AC22	Csmd1		Queried	AC
AC26	Csmd1		Queried	AC
AC29	Csmd1		Queried	AC
AC31	Csmd1		Queried	AC
AC33	Csmd1		Queried	AC
AC34	Csmd1		Queried	AC
AC40	Csmd1		Queried	AC
AC45	Csmd1		Queried	AC
AC55	Csmd1		Queried	AC
AC57	Csmd1		Queried	AC
AC61	Csmd1		Queried	AC
BC	Csmd1		Queried	BC
BC5C	Csmd1		Queried	BC
M1B	Csmd1		Queried	RGC
M3, M5, OR M6	Csmd1		Queried	RGC
NOVEL_18	Csmd1		Queried	RGC
NOVEL_36	Csmd1		Queried	RGC
NOVEL_37	Csmd1		Queried	RGC
OODS_CCK_14	Csmd1		Queried	RGC
TBR1-NOVEL	Csmd1		Queried	RGC
TBR1-S1	Csmd1		Queried	RGC
AC28	Csmd3		Queried	AC
AC3	Csmd3		Queried	AC
AC47	Csmd3		Queried	AC
AC55	Csmd3		Queried	AC
BC3A	Csmd3		Queried	BC
BC8	Csmd3		Queried	BC
F-MINI-OFF	Csmd3		Queried	RGC
NOVEL_19	Csmd3		Queried	RGC
NOVEL_39	Csmd3		Queried	RGC
W3D1	Csmd3		Queried	RGC
ASTROCYTE	Csrp1		Queried	ASTROCYTE
ENDOTHELIAL	Ctla2a		Queried	ENDOTHELIAL
MICROGLIA	Ctsd		Queried	MICROGLIA
RPE	Ctsd		Queried	RPE
MICROGLIA	Ctss		Queried	MICROGLIA
RGC	Ctss		Queried	RGC
MICROGLIA	Ctsz		Queried	MICROGLIA
ALPHAOFF-S	Ctxn3		Queried	RGC
ALPHAON-S	Ctxn3		Queried	RGC
J-RGC	Ctxn3		Queried	RGC
M2	Ctxn3		Queried	RGC
M3, M5, OR M6	Ctxn3		Queried	RGC
TBR1-S1	Ctxn3		Queried	RGC
CYCLING MICROGLIA	Cxcl10		Queried	MICROGLIA
AC31	Cxcl14		Queried	AC
AC44	Cxcl14		Queried	AC
AC48	Cxcl14		Queried	AC
AC7	Cxcl14		Queried	AC
BC5D	Cxcl14		Queried	BC
W3D1	D130009i18rik		Queried	RGC
F-MINI-ON	D130079a08rik		Queried	RGC
J-RGC	D130079a08rik		Queried	RGC
AC16	Dab1		Queried	AC
AC19	Dab1		Queried	AC
AC28	Dab1		Queried	AC
AC29	Dab1		Queried	AC
AC3	Dab1		Queried	AC
AC37	Dab1		Queried	AC
NOVEL_27	Dab1		Queried	RGC
NT-OODSGC	Dab1		Queried	RGC
AC43	Dach1		Queried	AC
BC5D	Dach1		Queried	BC
MG	Dbi		Queried	MG
SCLERAL FIBROBLAST	Dcn	Curated		IMMUNE
AC21	Dgkb		Queried	AC
AC30	Dgkb		Queried	AC
AC50	Dgkb		Queried	AC
J-RGC	Dgkb		Queried	RGC
NT-OODSGC	Dgkb		Queried	RGC
AC5	Dkk3		Queried	AC
MG	Dkk3		Queried	MG
PERICYTE	Dlc1		Queried	PERICYTE
AC	Dlgap1		Queried	AC
AC3	Dlgap1		Queried	AC
AC63	Dlgap1		Queried	AC
ALPHAON-S	Dlgap1		Queried	RGC
F-NOVEL	Dlgap1		Queried	RGC
M2	Dlgap1		Queried	RGC
AC16	Dlgap2		Queried	AC
AC25	Dlgap2		Queried	AC
AC29	Dlgap2		Queried	AC
AC49	Dlgap2		Queried	AC
AC54	Dlgap2		Queried	AC
AC61	Dlgap2		Queried	AC
AC27	Dmd		Queried	AC
AC36	Dmd		Queried	AC
AC45	Dmd		Queried	AC
BC8	Dmd		Queried	BC
ROD	Dmd		Queried	ROD
ASTROCYTE	Dnajb1		Queried	ASTROCYTE
MICROGLIA	Dnajb1		Queried	MICROGLIA
HC	Dock4		Queried	HC
AC20	Dpf3		Queried	AC
AC18	Dpp10		Queried	AC
AC43	Dpp10		Queried	AC
AC44	Dpp10		Queried	AC
AC45	Dpp10		Queried	AC
AC51	Dpp10		Queried	AC
AC54	Dpp10		Queried	AC
AC63	Dpp10		Queried	AC
F-MIDI-ON	Dpp10		Queried	RGC
F-MINI-OFF	Dpp10		Queried	RGC
F-MINI-ON	Dpp10		Queried	RGC
NOVEL_13	Dpp10		Queried	RGC
NOVEL_15	Dpp10		Queried	RGC
NOVEL_24	Dpp10		Queried	RGC
NOVEL_35	Dpp10		Queried	RGC
W3D2	Dpp10		Queried	RGC
AC	Dscam		Queried	AC
AC49	Dscam		Queried	AC
EAR2+ MONOCYTE	Ear2	Curated		IMMUNE CELL
AC10	Ebf1		Queried	AC
AC15	Ebf1		Queried	AC
AC24	Ebf1		Queried	AC
BC2	Ebf1	Curated	Queried	BC
DV-OODSGC	Ebf1		Queried	RGC
J-RGC	Ebf1		Queried	RGC
MOUSE AC	Ebf1		Queried	AC
NOVEL_15	Ebf1		Queried	RGC
NOVEL_25	Ebf1		Queried	RGC
NOVEL_29	Ebf1		Queried	RGC
NOVEL_35	Ebf1		Queried	RGC
NOVEL_8	Ebf1		Queried	RGC
PERICYTE	Ebf1		Queried	PERICYTE
RGC	Ebf1		Queried	RGC
TBR1-S1	Ebf1		Queried	RGC
AC24	Ebf3		Queried	AC
AC4	Ebf3		Queried	AC
F-MIDI-ON	Ebf3		Queried	RGC
F-RGC	Ebf3	Curated		RGC
M1A	Ebf3		Queried	RGC
NOVEL_11	Ebf3		Queried	RGC
NOVEL_19	Ebf3		Queried	RGC
NOVEL_20	Ebf3		Queried	RGC
NOVEL_27	Ebf3		Queried	RGC
NOVEL_44	Ebf3		Queried	RGC
AC19	Efna5		Queried	AC
AC33	Efna5		Queried	AC
AC37	Efna5		Queried	AC
AC40	Efna5		Queried	AC
AC52	Efna5		Queried	AC
ASTROCYTE	Eftud2		Queried	ASTROCYTE
AC22	Egfem1		Queried	AC
AC24	Egfem1		Queried	AC
AC30	Egfem1		Queried	AC
AC9	Egfem1		Queried	AC
F-NOVEL	Egfem1		Queried	RGC
HC	Egfem1		Queried	HC
NOVEL_24	Egfem1		Queried	RGC
W3D2	Egfem1		Queried	RGC
ASTROCYTE	Egr1		Queried	ASTROCYTE
BC5A	Egr1		Queried	BC
BC8	Egr1		Queried	BC
NOVEL_7	Egr1		Queried	RGC
AC21	Elavl2	Curated		AC
GANGLIONOTHER78	Eomes	Curated		RGC
IPRGC	Eomes	Curated		RGC
ROD	Epb41		Queried	ROD
BC5B	Epb41l2		Queried	BC
AC39	Epha3		Queried	AC
AC51	Epha3		Queried	AC
AC61	Epha3	Curated	Queried	AC
BC3A	Epha3		Queried	BC
BC5B	Epha3		Queried	BC
AC18	Epha6		Queried	AC
AC51	Epha6		Queried	AC
AC58	Epha6		Queried	AC
ALPHAON-T	Epha6		Queried	RGC
BC5D	Epha7		Queried	BC
AC22	Erbb4		Queried	AC
AC28	Erbb4		Queried	AC
AC36	Erbb4		Queried	AC
AC38	Erbb4		Queried	AC
AC45	Erbb4		Queried	AC
AC50	Erbb4		Queried	AC
AC59	Erbb4		Queried	AC
AC61	Erbb4		Queried	AC
BC3A	Erbb4	Curated	Queried	BC
AC16	Esrrg		Queried	AC
AC29	Esrrg		Queried	AC
AC39	Esrrg		Queried	AC
AC49	Esrrg		Queried	AC
BC5B	Esrrg		Queried	BC
AC17	Etl4		Queried	AC
AC48	Etl4		Queried	AC
M1A	Etl4		Queried	RGC
NOVEL_18	Etl4		Queried	RGC
NOVEL_35	Etl4		Queried	RGC
NOVEL_44	Etl4		Queried	RGC
NOVEL_7	Etl4		Queried	RGC
NOVEL_8	Etl4		Queried	RGC
AC42	Etv1	Curated	Queried	AC
ALPHAOFF-T	Etv1		Queried	RGC
ALPHAON-T	Etv1		Queried	RGC
ALPHAOFF-S	Fabp5		Queried	RGC
M1B	Fabp5		Queried	RGC
M2	Fabp5		Queried	RGC
NOVEL_25	Fabp5		Queried	RGC
NOVEL_26	Fabp5		Queried	RGC
RARE CYCLING ASTROCYTE	Fabp7	Curated		ASTROCYTE
BC5D	Fam135b		Queried	BC
BC9	Fam135b		Queried	BC
MAYBE T-OODSGC	Fam19a4	Curated		RGC
AC45	Fat3		Queried	AC
ALPHAON-S	Fat3		Queried	RGC
F-NOVEL	Fat3		Queried	RGC
NOVEL_10	Fat3		Queried	RGC
ALPHAOFF-S	Fes	Curated		RGC
AC	Fgf13		Queried	AC
AC21	Fgf13		Queried	AC
AC27	Fgf13		Queried	AC
AC1	Fgf14		Queried	AC
AC28	Fgf14		Queried	AC
AC48	Fgf14		Queried	AC
AC63	Fgf14		Queried	AC
AC1	Filip1l		Queried	AC
AC16	Filip1l		Queried	AC
AC27	Filip1l		Queried	AC
